route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
18-62,          0,18,"Nicollet Av - South Bloomington",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=18,,000000
19-62,          0,19,"Olson Memorial Hwy - Penn Av N - Brooklyn Center",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=19,,000000
20-62,          0,20,"Northstar Rail-Downtown Shuttle",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=20,,000000
21-62,          0,21,"Uptown - Lake St - Selby  Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=21,,000000
22-62,          0,22,"Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=22,,000000
23-62,          0,23,"Uptown - 38th St - Highland Village",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=23,,000000
25-62,          0,25,"Northtown - Silver Lake - Stinson - Lake of Isles",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=25,,000000
27-62,          0,27,"Lake St Station-26/28St",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=27,,000000
32-62,          1,32,"Robbinsdale - Lowry Av - Rosedale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=32,,000000
39-62,          0,39,"Wells Fargo - Abbott NW and Children's Hospitals",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=39,,000000
46-62,          0,46,"50St - 46St - 46St LRT- Highland Village",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=46,,000000
50-62,          0,50,"Ltd Stop - U of M - University Av - Midway",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=50,,000000
53-62,          0,53,"Ltd Stop - Uptown - Lake St - Marshall Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=53,,000000
54-62,          0,54,"Ltd Stop - W 7St - Airport - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=54,,000000
59-62,          0,59,"Ltd Stop - Blaine - Hwy 65 - Central - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=59,,000000
61-62,          0,61,"E Hennepin Av - Larpenteur Av - Arcade St",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=61,,000000
62-62,          1,62,"Rice St - Little Canada - Shoreview",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=62,,000000
63-62,          0,63,"Grand Av - 3rd St - Sunray - McKnight Rd",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=63,,000000
64-62,          0,64,"Payne - Maryland - White Bear Av - Maplewood",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=64,,000000
65-62,          0,65,"Dale St - Co Rd B - Rosedale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=65,,000000
67-62,          0,67,"W Minnehaha - Wabasha - Smith - Signal Hills",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=67,,000000
68-62,          0,68,"Jackson St - Robert St - 5th Av - Inver Hills",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=68,,000000
70-62,          0,70,"St Clair Av - W 7St - Burns Av - Sunray",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=70,,000000
71-62,          0,71,"Little Canada - Edgerton - Concord - Inver Hills",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=71,,000000
74-62,          0,74,"46St - Randolph - W 7St - E 7St - Sunray",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=74,,000000
75-62,          0,75,"Stryker - Robert - Parkview Plaza - Lake Cove Apts",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=75,,000000
80-62,          2,80,"Maplewood - White Bear Av - Sunray",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=80,,000000
84-62,          0,84,"Rosedale - Snelling - 46th St LRT - Sibley Plaza",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=84,,000000
87-62,          2,87,"Rosedale - U of M St Paul - Cleveland Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=87,,000000
94-62,          0,94,"Express - Minneapolis - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=94,,000000
111-62,          0,111,"Ltd Stop - 66th St - Chicago - Cedar - U of M",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=111,,000000
113-62,          0,113,"Ltd Stop - Grand Av S - Lyndale Av S - U of M",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=113,,000000
114-62,          0,114,"Ltd Stop - Excelsior Blvd - Uptown - U of M",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=114,,000000
118-62,          0,118,"Ltd Stop - Central Av - Lowry Av - U of M",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=118,,000000
121-62,         11,121,"U of M - Campus Connector",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=121,,000000
123-62,         11,123,"U of M - East Bank Circulator",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=123,,000000
124-62,         11,124,"U of M - Saint Paul Circulator",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=124,,000000
133-62,          0,133,"Ltd Stop - Bloomington Av - Chicago Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=133,,000000
134-62,          0,134,"Ltd Stop - Cleveland Av - Cretin Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=134,,000000
135-62,          0,135,"Ltd Stop - Grand Av S - 35th St - 36th St - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=135,,000000
141-62,          0,141,"Ltd Stop - New Brighton - Johnson St - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=141,,000000
144-62,          0,144,"Ltd Stop - Snelling Av - U of M - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=144,,000000
146-62,          0,146,"Ltd Stop -  Vernon Av - 50th St - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=146,,000000
156-62,          0,156,"Express - 58th St - 56th St - Diamond Lake - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=156,,000000
219-62,          2,219,"Maplewood - Century Av - Hadley Av - Sunray",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=219,,000000
223-62,          2,223,"Rosedale - Little Canada - Maplewood",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=223,,000000
225-62,          2,225,"Deluxe - Roseville - Covenry - Rosedale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=225,,000000
227-62,          2,227,"Target Shoreview - Victoria - Rosedale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=227,,000000
250-62,          0,250,"Express - St Josephs P&R - 95Av P&R - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=250,,000000
252-62,          0,252,"95AV P&R- U of M",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=252,,000000
261-62,          0,261,"Express - Shoreview - Roseville - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=261,,000000
262-62,          2,262,"Ltd Stop - 95Av P&R - Rice St - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=262,,000000
263-62,          0,263,"Express - Rice St Park and Ride - Roseville",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=263,,000000
264-62,          0,264,"Express - Co Rd C Park and Ride - Roseville",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=264,,000000
265-62,          0,265,"Express - White Bear Lake - Maplewood - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=265,,000000
270-62,          0,270,"Express - Mahtomedi - Maplewood - Minneapolis",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=270,,000000
272-62,          0,272,"Express - Maplewood - Rosedale - U of M",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=272,,000000
275-62,          2,275,"Express - Lino Lakes - Centerville - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=275,,000000
285-62,          0,285,"Express - Forest Lake - Running Aces",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=285,,000000
288-62,          2,288,"Express - Forest Lake - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=288,,000000
294-62,          0,294,"Express - Oakdale - Stillwater - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=294,,000000
350-62,          2,350,"Ltd Stop - Sunray - McKnight - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=350,,000000
351-62,          2,351,"Express - Woodbury - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=351,,000000
353-62,          0,353,"Express - Woodbury - St Paul - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=353,,000000
355-62,          0,355,"Express - Woodbury - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=355,,000000
361-62,          0,361,"Express - Cottage Grove - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=361,,000000
364-62,          2,364,"Express - Newport - Cottage Grove - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=364,,000000
365-62,          0,365,"Express - Cottage Grove - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=365,,000000
375-62,          0,375,"Express - Oakdale - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=375,,000000
415-62,          0,415,"MOA - Mendota Heights - Eagan",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=415,,000000
417-62,          2,417,"Mendota Heights - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=417,,000000
452-62,          0,452,"Express - West St Paul - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=452,,000000
467-62,          0,467,"Express - Lakeville-Minneapolis",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=467,,000000
490-62,          7,490,"BlueXpress - Shakopee - Prior Lake - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=490,,000000
491-62,          7,491,"BlueXpress - Reverse Commute",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=491,,000000
492-62,          7,492,"BlueXpress - Prior Lake-Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=492,,000000
496-62,          9,496,"Shakopee Transit - Shakopee Circulator",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=496,,000000
498-62,          9,498,"BlueXpress - Shuttle - Shakopee - Prior Lake",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=498,,000000
515-62,          0,515,"Southdale - 66th St - Bloomington Av - VA - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=515,,000000
535-62,          0,535,"Ltd Stop - South Bloomington - Richfield - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=535,,000000
537-62,          2,537,"Norm Coll - France Av - York Av - Southdale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=537,,000000
538-62,          2,538,"Southdale - York Av - Southtown - 86th St - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=538,,000000
539-62,          2,539,"Norm Coll - France Av - 98St - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=539,,000000
540-62,          2,540,"Edina - Richfield - 77th St - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=540,,000000
542-62,          0,542,"84th St - 76th St - American Blvd - MOA",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=542,,000000
552-62,          0,552,"Express - 12th Av - Bloomington Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=552,,000000
553-62,          0,553,"Express - Bloomington - Portland Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=553,,000000
554-62,          0,554,"Express - Bloomington - Nicollet Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=554,,000000
558-62,          0,558,"Express - Southtown - Lyndale Av - Penn Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=558,,000000
568-62,          0,568,"Nicollet Av - 50th St - Opportunity Partners",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=568,,000000
578-62,          0,578,"Express - Edina - Southdale - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=578,,000000
579-62,          0,579,"Express - U of M - Southdale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=579,,000000
587-62,          0,587,"Express - Edina - Valley View Rd - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=587,,000000
588-62,          0,588,"Mpls - Hyland Park - Norman Village",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=588,,000000
589-62,          0,589,"Express - West Bloomington - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=589,,000000
597-62,          0,597,"Express - West Bloomington - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=597,,000000
604-62,          2,604,"Wayzata Blvd - Louisiana Av - Excelsior Blvd",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=604,,000000
615-62,          2,615,"Ridgedale - Co Rd 73 - St Louis Park",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=615,,000000
643-62,          0,643,"Ltd Stop - Cedar Lake Rd - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=643,,000000
649-62,          0,649,"Express - Louisianna Av - Cedar Lake Rd- Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=649,,000000
652-62,          0,652,"Express - Plymouth Rd - Co Rd 73 P&R - U of M",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=652,,000000
663-62,          0,663,"Express - Cedar Lake Rd - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=663,,000000
664-62,          2,664,"Express - Co Rd 3 - Excelsior Blvd - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=664,,000000
665-62,          0,665,"Express - Opportunitity Partners - 11th Av - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=665,,000000
667-62,          0,667,"Express - Minnetonka - St Louis Park - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=667,,000000
668-62,          0,668,"Express - Hopkins - St Louis Park - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=668,,000000
670-62,          2,670,"Express - Co Rd 19 - Hwy 7 - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=670,,000000
671-62,          0,671,"Express - Excelsior - Deephaven - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=671,,000000
672-62,          0,672,"Express - Wayzata - Minnetonka - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=672,,000000
673-62,          0,673,"Express - Co Rd 73 P&R - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=673,,000000
674-62,          0,674,"Express - Orono - Long Lake - Wayzata - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=674,,000000
675-62,          0,675,"Express - Mound - Wayzata - Ridgedale - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=675,,000000
677-62,          0,677,"Express- Mound - Orono - Plymouth Rd - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=677,,000000
679-62,          0,679,"Express Co Rd 73  Target Field",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=679,,000000
680-62,          6,680,"SW Transit - Express - Eden Prairie- Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=680,,000000
684-62,          6,684,"SW Transit - Express - Eden Prairie - Southdale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=684,,000000
690-62,          6,690,"SW Transit - Express - Eden Prairie - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=690,,000000
691-62,          6,691,"SW Transit - Express - Eden Prairie - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=691,,000000
692-62,          6,692,"SW Transit - Express - Eden Prairie",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=692,,000000
695-62,          6,695,"SW Transit - Express - Chaska - Chanhassen - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=695,,000000
698-62,          6,698,"SW Transit - Express - Chaska - Chanhassen - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=698,,000000
699-62,          6,699,"SW Transit - Express - Chaska - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=699,,000000
705-62,          2,705,"Starlite - Winnetka Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=705,,000000
716-62,          2,716,"Zane Av - 63rd Av - Crystal - Robbinsdale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=716,,000000
717-62,          2,717,"Brooklyn Center - Robbinsdale",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=717,,000000
721-62,          1,721,"Ltd Stop - Brooklyn Center - New Hope - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=721,,000000
722-62,          1,722,"Brooklyn Ctr - Humboldt Av N - Shingle Creek Pkwy",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=722,,000000
723-62,          2,723,"Starlite - North Henn Comm College - Brooklyn Ctr",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=723,,000000
724-62,          0,724,"Ltd Stop - Target Campus - Starlite - Brooklyn Ctr",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=724,,000000
740-62,          5,740,"Plymouth - Fernbrook Ln - Xenium Ln",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=740,,000000
741-62,          5,741,"Plymouth - Annapolis - Campus Dr - Station 73",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=741,,000000
742-62,          5,742,"Plymouth - Express - Bass Lake Rd",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=742,,000000
747-62,          5,747,"Plymouth - Express - Station 73 - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=747,,000000
755-62,          0,755,"Ltd Stop - Hwy 55 - Golden Valley Rd - Winnetka Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=755,,000000
756-62,          0,756,"Express- Hwy 55 - Mendelssohn Rd - Boone Av",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=756,,000000
758-62,          0,758,"Express - Douglas - MnDot P&R - Noble - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=758,,000000
760-62,          0,760,"Express - Zane Av - 63rd Av - 65th Av P&R - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=760,,000000
